ssTicker,SpotPrice,Strike,DTE,FittedIV,ActualIV
SPY,550.0,440,7,0.3974,0.424
SPY,550.0,455,7,0.3531,0.3457
SPY,550.0,470,7,0.3115,0.346
SPY,550.0,480,7,0.2851,0.3661
SPY,550.0,495,7,0.2475,0.235
SPY,550.0,510,7,0.212,0.1996
SPY,550.0,520,7,0.1895,0.2728
SPY,550.0,535,7,0.1573,0.1977
SPY,550.0,550,7,0.1269,0.1023
SPY,550.0,565,7,0.0982,0.1268
SPY,550.0,580,7,0.071,0.0466
SPY,550.0,590,7,0.0537,0.0291
SPY,550.0,605,7,0.05,0.0628
SPY,550.0,620,7,0.05,0.01
SPY,550.0,630,7,0.05,0.01
SPY,550.0,645,7,0.05,0.02
SPY,550.0,660,7,0.05,0.01
SPY,550.0,440,14,0.321,0.3379
SPY,550.0,455,14,0.2897,0.2412
SPY,550.0,470,14,0.2603,0.185
SPY,550.0,480,14,0.2416,0.3196
SPY,550.0,495,14,0.215,0.2031
SPY,550.0,510,14,0.19,0.1935
SPY,550.0,520,14,0.174,0.0988
SPY,550.0,535,14,0.1513,0.1226
SPY,550.0,550,14,0.1298,0.1356
SPY,550.0,565,14,0.1095,0.0489
SPY,550.0,580,14,0.0903,0.1101
SPY,550.0,590,14,0.078,0.0463
SPY,550.0,605,14,0.0605,0.0451
SPY,550.0,620,14,0.05,0.018
SPY,550.0,630,14,0.05,0.1485
SPY,550.0,645,14,0.05,0.0493
SPY,550.0,660,14,0.05,0.01
SPY,550.0,440,30,0.265,0.293
SPY,550.0,455,30,0.2436,0.2022
SPY,550.0,470,30,0.2235,0.2305
SPY,550.0,480,30,0.2107,0.1449
SPY,550.0,495,30,0.1926,0.1481
SPY,550.0,510,30,0.1754,0.182
SPY,550.0,520,30,0.1646,0.1891
SPY,550.0,535,30,0.149,0.1547
SPY,550.0,550,30,0.1343,0.1305
SPY,550.0,565,30,0.1205,0.1105
SPY,550.0,580,30,0.1073,0.0583
SPY,550.0,590,30,0.099,0.075
SPY,550.0,605,30,0.087,0.0716
SPY,550.0,620,30,0.0757,0.1111
SPY,550.0,630,30,0.0684,0.08
SPY,550.0,645,30,0.0581,0.01
SPY,550.0,660,30,0.05,0.061
SPY,550.0,440,45,0.2442,0.235
SPY,550.0,455,45,0.2268,0.2107
SPY,550.0,470,45,0.2103,0.2247
